CountryName,Continent,TotalLanguagesSpoken,PrimaryOfficialLanguage,AvgLanguageSpread
Aruba,"North America",4,Dutch,24.73
Afghanistan,Asia,5,Pashto,19.22
Angola,Africa,9,NULL,10.60
Anguilla,"North America",1,English,0.00
Albania,Europe,3,Albaniana,33.27
Andorra,Europe,4,Catalan,23.48
"Netherlands Antilles","North America",3,Papiamento,31.33
"United Arab Emirates",Asia,2,Arabic,21.00
Argentina,"South America",3,Spanish,32.93
Armenia,Asia,2,Armenian,48.00
"American Samoa",Oceania,3,Samoan,32.27
"Antigua and Barbuda","North America",2,English,47.85
Australia,Oceania,8,English,11.14
Austria,Europe,8,German,12.14
Azerbaijan,Asia,4,Azerbaijani,24.08
Burundi,Africa,3,Kirundi,32.70
Belgium,Europe,6,German,16.28
Benin,Africa,7,NULL,13.26
"Burkina Faso",Africa,6,NULL,12.47
Bangladesh,Asia,7,Bengali,14.10
Bulgaria,Europe,4,Bulgariana,24.73
Bahrain,Asia,2,Arabic,33.85
Bahamas,"North America",2,NULL,50.00
"Bosnia and Herzegovina",Europe,1,Serbo-Croatian,99.20
Belarus,Europe,4,Russian,24.88
Belize,"North America",4,English,24.70
Bermuda,"North America",1,English,100.00
Bolivia,"South America",4,Spanish,24.78
Brazil,"South America",5,Portuguese,19.80
Barbados,"North America",2,English,47.55
Brunei,Asia,4,Malay,21.68
Bhutan,Asia,3,Dzongkha,33.33
Botswana,Africa,5,NULL,19.02
"Central African Republic",Africa,6,NULL,13.73
Canada,"North America",12,French,7.80
"Cocos (Keeling) Islands",Oceania,2,English,0.00
Switzerland,Europe,4,Romansh,22.78
Chile,"South America",4,Spanish,25.00
China,Asia,12,Chinese,8.23
"Côte d’Ivoire",Africa,5,NULL,14.26
Cameroon,Africa,8,NULL,10.09
"Congo, The Democratic Republic of the",Africa,10,NULL,8.03
Congo,Africa,6,NULL,15.08
"Cook Islands",Oceania,2,Maori,0.00
Colombia,"South America",5,Spanish,19.94
Comoros,Africa,5,Comorian,19.10
"Cape Verde",Africa,2,Portuguese,50.00
"Costa Rica","North America",4,Spanish,25.00
Cuba,"North America",1,Spanish,100.00
"Christmas Island",Oceania,2,English,0.00
"Cayman Islands","North America",1,English,0.00
Cyprus,Asia,2,Turkish,48.25
"Czech Republic",Europe,8,Czech,12.40
Germany,Europe,6,German,16.12
Djibouti,Africa,3,Arabic,29.77
Dominica,"North America",2,NULL,50.00
Denmark,Europe,7,Danish,13.77
"Dominican Republic","North America",2,Spanish,50.00
Algeria,Africa,2,Arabic,50.00
Ecuador,"South America",2,Spanish,50.00
Egypt,Africa,2,Arabic,49.40
Eritrea,Africa,6,Tigrinja,15.82
"Western Sahara",Africa,1,Arabic,100.00
Spain,Europe,4,Spanish,24.83
Estonia,Europe,5,Estonian,19.60
Ethiopia,Africa,7,NULL,11.86
Finland,Europe,5,Swedish,19.80
"Fiji Islands",Oceania,2,Fijian,47.25
"Falkland Islands","South America",1,English,0.00
France,Europe,6,French,16.42
"Faroe Islands",Europe,2,Faroese,50.00
"Micronesia, Federated States of",Oceania,6,NULL,14.97
Gabon,Africa,4,NULL,20.33
"United Kingdom",Europe,3,English,32.77
Georgia,Asia,6,Georgiana,16.15
Ghana,Africa,6,NULL,15.42
Gibraltar,Europe,2,English,48.15
Guinea,Africa,7,NULL,12.66
Guadeloupe,"North America",2,French,47.50
Gambia,Africa,5,NULL,15.94
Guinea-Bissau,Africa,6,Portuguese,14.58
"Equatorial Guinea",Africa,2,NULL,46.75
Greece,Europe,2,Greek,49.70
Grenada,"North America",1,NULL,100.00
Greenland,"North America",2,Greenlandic,50.00
Guatemala,"North America",5,Spanish,18.26
"French Guiana","South America",2,NULL,48.10
Guam,Oceania,5,English,18.42
Guyana,"South America",3,NULL,33.33
"Hong Kong",Asia,5,English,19.16
Honduras,"North America",4,Spanish,24.73
