code,CountryName,IndepYear,CountryPopulation,GNP,GNPOld,gnp_per_capita,gnp_delta,CapitalName,CapitalPopulation,urbanization_rate,target_high_life
AGO,Angola,1975,12878000,6648.00,7984.00,0.001,-1336.00,Luanda,2022000,0.1989,0
ALB,Albania,1912,3401200,3205.00,2500.00,0.001,705.00,Tirana,270000,0.0794,1
ARE,"United Arab Emirates",1971,2441000,37966.00,36846.00,0.016,1120.00,"Abu Dhabi",398695,0.7080,1
ARG,Argentina,1816,37032000,340238.00,323310.00,0.009,16928.00,"Buenos Aires",2982146,0.5400,1
ARM,Armenia,1991,3520000,1813.00,1627.00,0.001,186.00,Yerevan,1248700,0.4639,0
AUS,Australia,1901,18886000,351182.00,392911.00,0.019,-41729.00,Canberra,322723,0.5991,1
AUT,Austria,1918,8091800,211860.00,206025.00,0.026,5835.00,Wien,1608144,0.2947,1
AZE,Azerbaijan,1991,7734000,4127.00,4100.00,0.001,27.00,Bakı,1787800,0.3186,0
BEL,Belgium,1830,10239000,249704.00,243948.00,0.024,5756.00,"Bruxelles [Brussel]",133859,0.1572,1
BGR,Bulgaria,1908,8190900,12178.00,10169.00,0.001,2009.00,Sofija,1122302,0.3293,1
BIH,"Bosnia and Herzegovina",1992,3972000,2841.00,0.00,0.001,2841.00,Sarajevo,360000,0.1508,1
BLR,Belarus,1991,10236000,13714.00,0.00,0.001,13714.00,Minsk,1674000,0.4632,1
BOL,Bolivia,1825,8329000,8571.00,7967.00,0.001,604.00,"La Paz",758141,0.4056,0
BRA,Brazil,1822,170115000,776739.00,804108.00,0.005,-27369.00,Brasília,1969868,0.5048,0
BWA,Botswana,1966,1622000,4834.00,4935.00,0.003,-101.00,Gaborone,213017,0.1941,0
CAN,Canada,1867,31147000,598862.00,625626.00,0.019,-26764.00,Ottawa,335277,0.4069,1
CHE,Switzerland,1499,7160400,264478.00,256092.00,0.037,8386.00,Bern,122700,0.1277,1
CHL,Chile,1810,15211000,72949.00,75780.00,0.005,-2831.00,"Santiago de Chile",4703954,0.6389,1
CHN,China,-1523,1277558000,982268.00,917719.00,0.001,64549.00,Peking,7472000,0.1377,1
CIV,"Côte d’Ivoire",1960,14786000,11345.00,10285.00,0.001,1060.00,Yamoussoukro,130000,0.2158,0
CMR,Cameroon,1960,15085000,9174.00,8596.00,0.001,578.00,Yaoundé,1372800,0.2335,0
COG,Congo,1960,2943000,2108.00,2287.00,0.001,-179.00,Brazzaville,950000,0.4927,0
COL,Colombia,1810,42321000,102896.00,105116.00,0.002,-2220.00,"Santafé de Bogotá",6260862,0.4785,1
CRI,"Costa Rica",1821,4023000,10226.00,9757.00,0.003,469.00,"San José",339131,0.0843,1
CUB,Cuba,1902,11201000,17843.00,18862.00,0.002,-1019.00,"La Habana",2256000,0.4133,1
CZE,"Czech Republic",1993,10278100,55017.00,52037.00,0.005,2980.00,Praha,1181126,0.2563,1
DEU,Germany,1955,82164700,2133367.00,2102826.00,0.026,30541.00,Berlin,3386667,0.3194,1
DNK,Denmark,800,5330000,174099.00,169264.00,0.033,4835.00,København,495699,0.2281,1
DOM,"Dominican Republic",1844,8495000,15846.00,15076.00,0.002,770.00,"Santo Domingo de Guzmán",1609966,0.2870,1
DZA,Algeria,1962,31471000,49982.00,46966.00,0.002,3016.00,Alger,2168000,0.1650,1
ECU,Ecuador,1822,12646000,19770.00,19769.00,0.002,1.00,Quito,1573458,0.4542,1
